genus,species,parameter_value,parameter_tmax_or_tmin,error_estimate,error_type,sample_size,metric_type,metric_description,ramping_rate,ramping_to_reach_st,duration_of_chronic_exposure,acclim_temp,pretreatment_duration,temp_before_pretreament_held_or_ff_for_field_fresh,timing_of_collection,latitude,longitude,elevation_of_collection,location_description,ref,life_stage,phylum,class,order,family,realm_specific,realm_general,notes,genus_species,extractor,acclim_time,source,original_compilation
Pacifastacus,leniusculus,4.4000000000000004,tmin,NA,NA,20,critical,50percent_loss_equilibrium,0.3,NA,NA,25,2w,held,NA,46.280449,-119.273682,NA,"Columbia river, Richland Washington",Becker_et_al_1977,adult,Arthropoda,Malacostraca,Decapoda,Astacidae,river,freshwater,NA,Pacifastacus_leniusculus,SO,NA,NA,NA
Pacifastacus,leniusculus,1.8,tmin,NA,NA,20,critical,50percent_loss_equilibrium,0.3,NA,NA,20,2w,held,NA,46.280449,-119.273682,NA,"Columbia river, Richland Washington",Becker_et_al_1977,adult,Arthropoda,Malacostraca,Decapoda,Astacidae,river,freshwater,NA,Pacifastacus_leniusculus,SO,NA,NA,NA
Pacifastacus,leniusculus,0.4,tmin,NA,NA,20,critical,50percent_loss_equilibrium,0.3,NA,NA,15,2w,held,NA,46.280449,-119.273682,NA,"Columbia river, Richland Washington",Becker_et_al_1977,adult,Arthropoda,Malacostraca,Decapoda,Astacidae,river,freshwater,NA,Pacifastacus_leniusculus,SO,NA,NA,NA
Pacifastacus,leniusculus,3.9,tmin,NA,NA,20,critical,50percent_loss_equilibrium,0.16669999999999999,NA,NA,25,2w,held,NA,46.280449,-119.273682,NA,"Columbia river, Richland Washington",Becker_et_al_1977,adult,Arthropoda,Malacostraca,Decapoda,Astacidae,river,freshwater,NA,Pacifastacus_leniusculus,SO,NA,NA,NA
Pacifastacus,leniusculus,1.6,tmin,NA,NA,20,critical,50percent_loss_equilibrium,0.16669999999999999,NA,NA,20,2w,held,NA,46.280449,-119.273682,NA,"Columbia river, Richland Washington",Becker_et_al_1977,adult,Arthropoda,Malacostraca,Decapoda,Astacidae,river,freshwater,NA,Pacifastacus_leniusculus,SO,NA,NA,NA
Pacifastacus,leniusculus,0.2,tmin,NA,NA,20,critical,50percent_loss_equilibrium,0.16669999999999999,NA,NA,15,2w,held,NA,46.280449,-119.273682,NA,"Columbia river, Richland Washington",Becker_et_al_1977,adult,Arthropoda,Malacostraca,Decapoda,Astacidae,river,freshwater,NA,Pacifastacus_leniusculus,SO,NA,NA,NA
Pacifastacus,leniusculus,3.7,tmin,NA,NA,20,critical,50percent_loss_equilibrium,8.3299999999999999E-2,NA,NA,25,2w,held,NA,46.280449,-119.273682,NA,"Columbia river, Richland Washington",Becker_et_al_1977,adult,Arthropoda,Malacostraca,Decapoda,Astacidae,river,freshwater,NA,Pacifastacus_leniusculus,SO,NA,NA,NA
Pacifastacus,leniusculus,1.4,tmin,NA,NA,20,critical,50percent_loss_equilibrium,8.3299999999999999E-2,NA,NA,20,2w,held,NA,46.280449,-119.273682,NA,"Columbia river, Richland Washington",Becker_et_al_1977,adult,Arthropoda,Malacostraca,Decapoda,Astacidae,river,freshwater,NA,Pacifastacus_leniusculus,SO,NA,NA,NA
Pacifastacus,leniusculus,<0.1,tmin,NA,NA,20,critical,50percent_loss_equilibrium,8.3299999999999999E-2,NA,NA,15,2w,held,NA,46.280449,-119.273682,NA,"Columbia river, Richland Washington",Becker_et_al_1977,adult,Arthropoda,Malacostraca,Decapoda,Astacidae,river,freshwater,NA,Pacifastacus_leniusculus,SO,NA,NA,NA
Pacifastacus,leniusculus,2.8,tmin,NA,NA,20,critical,50percent_loss_equilibrium,0.05,NA,NA,25,2w,held,NA,46.280449,-119.273682,NA,"Columbia river, Richland Washington",Becker_et_al_1977,adult,Arthropoda,Malacostraca,Decapoda,Astacidae,river,freshwater,NA,Pacifastacus_leniusculus,SO,NA,NA,NA
Pacifastacus,leniusculus,0.5,tmin,NA,NA,20,critical,50percent_loss_equilibrium,0.05,NA,NA,20,2w,held,NA,46.280449,-119.273682,NA,"Columbia river, Richland Washington",Becker_et_al_1977,adult,Arthropoda,Malacostraca,Decapoda,Astacidae,river,freshwater,NA,Pacifastacus_leniusculus,SO,NA,NA,NA
Pacifastacus,leniusculus,<0.1,tmin,NA,NA,20,critical,50percent_loss_equilibrium,0.05,NA,NA,15,2w,held,NA,46.280449,-119.273682,NA,"Columbia river, Richland Washington",Becker_et_al_1977,adult,Arthropoda,Malacostraca,Decapoda,Astacidae,river,freshwater,NA,Pacifastacus_leniusculus,SO,NA,NA,NA
Pacifastacus,leniusculus,2.5,tmin,0.5,NA,20,lethal,50percent_survival,NA,NA,NA,25,2w,held,NA,46.280449,-119.273682,NA,"Columbia river, Richland Washington",Becker_et_al_1977,adult,Arthropoda,Malacostraca,Decapoda,Astacidae,river,freshwater,NA,Pacifastacus_leniusculus,SO,NA,NA,NA
Pacifastacus,leniusculus,<0.4,tmin,NA,NA,20,lethal,50percent_survival,NA,NA,NA,20,2w,held,NA,46.280449,-119.273682,NA,"Columbia river, Richland Washington",Becker_et_al_1977,adult,Arthropoda,Malacostraca,Decapoda,Astacidae,river,freshwater,NA,Pacifastacus_leniusculus,SO,NA,NA,NA
Pacifastacus,leniusculus,0,tmin,NA,NA,20,lethal,50percent_survival,NA,NA,NA,15,2w,held,NA,46.280449,-119.273682,NA,"Columbia river, Richland Washington",Becker_et_al_1977,adult,Arthropoda,Malacostraca,Decapoda,Astacidae,river,freshwater,NA,Pacifastacus_leniusculus,SO,NA,NA,NA
Callorhinus,ursinus,6.8,tmin,0.9,SD,6,LTNZ,lower_critical_limit,NA,NA,NA,1.5 - 8.8,2-4m,held,Feb - Nov,57.17828,-170.28876,NA,"St Paul Island, Alaska",Rosen_&_Trites_2014,adult,Chordata,Mammalia,Carnivora,Otariidae,NA,marine,NA,Callorhinus_ursinus,SO,NA,NA,NA
Callorhinus,ursinus,8,tmin,1.7,SD,6,LTNZ,lower_critical_limit,NA,NA,NA,2.7 - 16.4,2-4m,held,Feb - Nov,57.17828,-170.28876,NA,"St Paul Island, Alaska",Rosen_&_Trites_2014,adult,Chordata,Mammalia,Carnivora,Otariidae,NA,marine,NA,Callorhinus_ursinus,SO,NA,NA,NA
Callorhinus,ursinus,6.2,tmin,2.9,SD,6,LTNZ,lower_critical_limit,NA,NA,NA,12.3 - 23.9,2-4m,held,Feb - Nov,57.17828,-170.28876,NA,"St Paul Island, Alaska",Rosen_&_Trites_2014,adult,Chordata,Mammalia,Carnivora,Otariidae,NA,marine,NA,Callorhinus_ursinus,SO,NA,NA,NA
Callorhinus,ursinus,3.9,tmin,1.4,SD,6,LTNZ,lower_critical_limit,NA,NA,NA,4.1 - 12.3,2-4m,held,Feb - Nov,57.17828,-170.28876,NA,"St Paul Island, Alaska",Rosen_&_Trites_2014,adult,Chordata,Mammalia,Carnivora,Otariidae,NA,marine,NA,Callorhinus_ursinus,SO,NA,NA,NA
Callorhinus,ursinus,5.4,tmin,2.7,SD,6,LTNZ,lower_critical_limit,NA,NA,NA,2.9 - 10.2,2-4m,held,Feb - Nov,57.17828,-170.28876,NA,"St Paul Island, Alaska",Rosen_&_Trites_2014,adult,Chordata,Mammalia,Carnivora,Otariidae,NA,marine,NA,Callorhinus_ursinus,SO,NA,NA,NA
Callorhinus,ursinus,6.5,tmin,1.5,SD,6,LTNZ,lower_critical_limit,NA,NA,NA,10.9 - 20.1,2-4m,held,Feb - Nov,57.17828,-170.28876,NA,"St Paul Island, Alaska",Rosen_&_Trites_2014,adult,Chordata,Mammalia,Carnivora,Otariidae,NA,marine,NA,Callorhinus_ursinus,SO,NA,NA,NA
Fundulus,parvipinnis,39.700000000000003,tmax,NA,NA,NA,lethal,50percent_survival,NA,NA,0.5h,28,57-63d,held,summer,32.779217,-117.2342,NA,"Mission Bay, San Diego, USA",Doudoroff_1945,adult,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,NA,marine,NA,Fundulus_parvipinnis,SO,NA,NA,NA
Fundulus,parvipinnis,39.299999999999997,tmax,NA,NA,NA,lethal,50percent_survival,NA,NA,1h,28,57-63d,held,summer,32.779217,-117.2342,NA,"Mission Bay, San Diego, USA",Doudoroff_1945,adult,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,NA,marine,NA,Fundulus_parvipinnis,SO,NA,NA,NA
Fundulus,parvipinnis,38.5,tmax,NA,NA,NA,lethal,50percent_survival,NA,NA,3h,28,57-63d,held,summer,32.779217,-117.2342,NA,"Mission Bay, San Diego, USA",Doudoroff_1945,adult,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,NA,marine,NA,Fundulus_parvipinnis,SO,NA,NA,NA
Fundulus,parvipinnis,37.700000000000003,tmax,NA,NA,NA,lethal,50percent_survival,NA,NA,6h,28,57-63d,held,summer,32.779217,-117.2342,NA,"Mission Bay, San Diego, USA",Doudoroff_1945,adult,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,NA,marine,NA,Fundulus_parvipinnis,SO,NA,NA,NA
Fundulus,parvipinnis,37.5,tmax,NA,NA,NA,lethal,50percent_survival,NA,NA,12h,28,57-63d,held,summer,32.779217,-117.2342,NA,"Mission Bay, San Diego, USA",Doudoroff_1945,adult,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,NA,marine,NA,Fundulus_parvipinnis,SO,NA,NA,NA
Fundulus,parvipinnis,36.9,tmax,NA,NA,NA,lethal,50percent_survival,NA,NA,24h,28,57-63d,held,summer,32.779217,-117.2342,NA,"Mission Bay, San Diego, USA",Doudoroff_1945,adult,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,NA,marine,NA,Fundulus_parvipinnis,SO,NA,NA,NA
Fundulus,parvipinnis,36.5,tmax,NA,NA,NA,lethal,50percent_survival,NA,NA,48h,28,57-63d,held,summer,32.779217,-117.2342,NA,"Mission Bay, San Diego, USA",Doudoroff_1945,adult,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,NA,marine,NA,Fundulus_parvipinnis,SO,NA,NA,NA
Fundulus,parvipinnis,36.5,tmax,NA,NA,NA,lethal,50percent_survival,NA,NA,72h,28,57-63d,held,summer,32.779217,-117.2342,NA,"Mission Bay, San Diego, USA",Doudoroff_1945,adult,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,NA,marine,NA,Fundulus_parvipinnis,SO,NA,NA,NA
Fundulus,parvipinnis,36.5,tmax,NA,NA,NA,lethal,50percent_survival,NA,NA,96h,28,57-63d,held,summer,32.779217,-117.2342,NA,"Mission Bay, San Diego, USA",Doudoroff_1945,adult,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,NA,marine,NA,Fundulus_parvipinnis,SO,NA,NA,NA
Fundulus,parvipinnis,36.5,tmax,NA,NA,NA,lethal,50percent_survival,NA,NA,120h,28,57-63d,held,summer,32.779217,-117.2342,NA,"Mission Bay, San Diego, USA",Doudoroff_1945,adult,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,NA,marine,NA,Fundulus_parvipinnis,SO,NA,NA,NA
Fundulus,parvipinnis,36.5,tmax,NA,NA,NA,lethal,50percent_survival,NA,NA,140h,28,57-63d,held,summer,32.779217,-117.2342,NA,"Mission Bay, San Diego, USA",Doudoroff_1945,adult,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,NA,marine,NA,Fundulus_parvipinnis,SO,NA,NA,NA
Fundulus,parvipinnis,36.1,tmax,NA,NA,NA,lethal,50percent_survival,NA,NA,0.5h,20,30-51d,held,summer,32.779217,-117.2342,NA,"Mission Bay, San Diego, USA",Doudoroff_1945,adult,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,NA,marine,NA,Fundulus_parvipinnis,SO,NA,NA,NA
Fundulus,parvipinnis,36.1,tmax,NA,NA,NA,lethal,50percent_survival,NA,NA,1h,20,30-51d,held,summer,32.779217,-117.2342,NA,"Mission Bay, San Diego, USA",Doudoroff_1945,adult,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,NA,marine,NA,Fundulus_parvipinnis,SO,NA,NA,NA
Fundulus,parvipinnis,35.799999999999997,tmax,NA,NA,NA,lethal,50percent_survival,NA,NA,3h,20,30-51d,held,summer,32.779217,-117.2342,NA,"Mission Bay, San Diego, USA",Doudoroff_1945,adult,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,NA,marine,NA,Fundulus_parvipinnis,SO,NA,NA,NA
Fundulus,parvipinnis,35.799999999999997,tmax,NA,NA,NA,lethal,50percent_survival,NA,NA,6h,20,30-51d,held,summer,32.779217,-117.2342,NA,"Mission Bay, San Diego, USA",Doudoroff_1945,adult,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,NA,marine,NA,Fundulus_parvipinnis,SO,NA,NA,NA
Fundulus,parvipinnis,35.700000000000003,tmax,NA,NA,NA,lethal,50percent_survival,NA,NA,12h,20,30-51d,held,summer,32.779217,-117.2342,NA,"Mission Bay, San Diego, USA",Doudoroff_1945,adult,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,NA,marine,NA,Fundulus_parvipinnis,SO,NA,NA,NA
Fundulus,parvipinnis,35.5,tmax,NA,NA,NA,lethal,50percent_survival,NA,NA,24h,20,30-51d,held,summer,32.779217,-117.2342,NA,"Mission Bay, San Diego, USA",Doudoroff_1945,adult,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,NA,marine,NA,Fundulus_parvipinnis,SO,NA,NA,NA
Fundulus,parvipinnis,35.4,tmax,NA,NA,NA,lethal,50percent_survival,NA,NA,48h,20,30-51d,held,summer,32.779217,-117.2342,NA,"Mission Bay, San Diego, USA",Doudoroff_1945,adult,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,NA,marine,NA,Fundulus_parvipinnis,SO,NA,NA,NA
Fundulus,parvipinnis,35.1,tmax,NA,NA,NA,lethal,50percent_survival,NA,NA,72h,20,30-51d,held,summer,32.779217,-117.2342,NA,"Mission Bay, San Diego, USA",Doudoroff_1945,adult,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,NA,marine,NA,Fundulus_parvipinnis,SO,NA,NA,NA
Fundulus,parvipinnis,34.799999999999997,tmax,NA,NA,NA,lethal,50percent_survival,NA,NA,96h,20,30-51d,held,summer,32.779217,-117.2342,NA,"Mission Bay, San Diego, USA",Doudoroff_1945,adult,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,NA,marine,NA,Fundulus_parvipinnis,SO,NA,NA,NA
